condition	dataset	number	ended	n_iter	completed	tree_size	hours
standard	skinks	009	FALSE	8745700	FALSE	218	NA
standard	skinks	010	FALSE	8712800	FALSE	218	NA
shuffled	skinks	001	FALSE	8632500	FALSE	218	NA
shuffled	skinks	002	FALSE	8735700	FALSE	218	NA
shuffled	skinks	003	FALSE	9617900	FALSE	218	NA
shuffled	skinks	004	FALSE	10301900	FALSE	218	NA
shuffled	skinks	005	FALSE	9409000	FALSE	218	NA
under_prior	skinks	001	FALSE	892270	FALSE	218	NA
under_prior	skinks	002	FALSE	1029990	FALSE	218	NA
under_prior	skinks	003	FALSE	974270	FALSE	218	NA
under_prior	skinks	004	FALSE	962190	FALSE	218	NA
under_prior	skinks	005	FALSE	1005870	FALSE	218	NA
