node,r,s,a,x,y,scenario_d,scenario_m,scenario_c,scenario_h,scenario_r,scenario_s,scenario_a,scenario_x,scenario_y,selection,true_x,true_y,true_angle,true_selection
219,1.04536931711306,6.68517740726006,-2.66762586501044,127.79339725446,-23.5278728017067,1,0,2,0,-0.470704976984679,6.76258206573954,4.90859408949322,118.661900271067,-23.3626308367708,0,0.999495986805906,-0.0317454305198071,6.25143454221237,0
220,1.86811082347665,6.30290270330776,1.87484203079738,127.036450085833,-24.083132537597,0,0,3,4,1.53145325145208,6.22377091953525,3.86567028104292,131.798477640649,-23.6633894062708,0,-0.995691415646463,-0.092728662278405,3.23445472223471,0
221,2.09274100812718,6.09292361777379,0.876906532269699,125.455172119044,-25.1631053037483,0,0,3,4,2.33415970957447,6.59029959428738,2.20785080727193,128.261231419411,-25.310495179248,0,-0.989526367819355,-0.144352233755614,3.28645097226752,0
222,1.14732458515555,4.21252508212916,1.22758928164672,124.725495456136,-27.362348913506,1,0,3,5,1.62813953849171,3.77665711083706,2.92727232962885,126.111175309292,-26.2105637378257,1,-0.670423615085663,-0.741978555172231,3.97760941376603,1
223,1.15280858781592,3.78957454020437,2.47294926450228,125.245789801723,-27.2422672444042,0,1,1,1,0.421619190456375,3.99450144496111,3.49862161455867,124.117954582347,-28.2787066215759,1,0.654589476701502,0.755984534889209,0.857156865416179,1
224,0.899018953798157,2.79961478463142,1.02194419727782,128.821974797362,-25.14787360348,0,0,1,2,2.29730133076482,2.26781427112575,2.13438755315153,128.592253852764,-25.4520595903752,2,0.0494894547638714,0.998774646187605,1.52128664808739,2
225,0.937999674958286,2.88544471258093,1.76607440349044,129.035897396681,-24.8855465705746,0,0,3,1,0.462308105920746,3.21027503353535,2.42625833118881,128.006485594406,-25.1035075182595,1,0.672928492310082,0.739707539665022,0.832635646124016,1
226,1.45953153616123,3.09445360465542,4.23431670849451,129.813488260621,-23.3601887547847,0,0,3,2,2.98500610406521,2.94792565123202,3.9338385689543,130.134811454716,-25.1558516934017,2,0.0806960809565298,0.996738753394417,1.49001240796993,2
227,1.51953099069816,3.0575028896055,0.150936914160566,131.524540560886,-18.4465427600958,1,0,3,3,1.28292891675509,2.91674291873939,0.885477799066214,131.885956451613,-19.5473604626486,3,-0.682776104437858,0.73062766934237,2.32235186440316,3
228,1.72401402732035,2.76768672404473,2.27011444006206,132.543022450986,-18.4682026732074,1,1,1,3,2.06576108978832,1.68724551522368,3.83743791376094,132.249153048264,-18.7684435958227,3,-0.712107727150996,0.702070213676555,2.36329214362893,3
229,1.97436642399142,2.98282637319843,3.38366825697452,133.587868717396,-19.6579896489464,0,0,3,6,2.38818609783755,2.92659192434393,3.51082201338645,133.362946139745,-16.8529667545653,2,-0.0642454849560194,-0.997934124911442,4.64809921778871,2
230,2.17511137094646,3.21231334398198,4.11732915554819,132.984115625469,-22.8168472045155,1,0,3,7,2.66848647698477,3.00502122923591,4.32429765513878,132.085175834004,-21.7307479402558,3,0.700328215175755,-0.713820979678197,5.48824617375358,3
231,2.76258473252796,2.47226677911387,1.20200597474672,131.404885198416,-22.337231222771,1,0,3,4,1.82975719540094,2.78107267391903,3.01753882671482,132.228140998428,-22.3992592433176,0,-0.998789991137132,-0.0491787922207121,3.19079129100747,0
