sim	param	true	est	hpd_low	hpd_high	ess
080	sigma_a	0.188326804200187	0.418164514900094	0.330044478886735	0.516129312590954	1062.59479633398
080	mu	3.13397715915926	3.09933910756252	3.05503536869176	3.1426449479892	1537.8746052838
080	kappa	3.66636903607287	3.80682236743658	3.41709197143384	4.21865617404778	2700.44807193987
080	root_x	0.262341058819249	-0.0986037257265486	-1.85176889649255	1.73808112596746	10043.5182506408
080	root_y	-0.895665061585986	-0.440923557074823	-2.26979361705625	1.41949495471959	11155.3158408288
080	root_r	-6.48681300905444	-5.79332905426717	-8.27336457609849	-3.37231930498276	887.820614373665
080	root_s	-2.21662470529615	-2.12682112677101	-3.52590968390513	-0.763224104113343	713.0836314181
080	root_a	1.617194886785	0.143935641748337	-4.99975947386432	6.08072159389672	4915.10947800202
081	sigma_x	0.991734176175669	0.997576377437845	0.992796933632133	0.999999974391599	9933.56245127245
081	sigma_y	0.741217672592029	0.997970283368008	0.993889781261299	0.999999088878241	10162.2061775864
081	sigma_r	0.923101618420333	0.995270916804998	0.985962106739755	0.999999770700248	14326.3418709799
081	sigma_s	0.0721750881057233	0.0980865535105988	0.0820191430475301	0.116666291840685	1000.98412623047
081	sigma_a	2.81836918089539	4.96015418438224	4.88138123437394	4.99999951302255	12025.6670468495
081	mu	1.24929221230559	1.25838841485806	-0.223510410782909	2.70577755032525	6904.38210062529
081	kappa	0.093735484406352	0.317863687182928	0.225765203251671	0.414655586864024	5281.57042232439
081	root_x	0.74017651347155	0.0578948759511784	-1.83370999608949	1.96172717547413	8858.69031977062
081	root_y	0.966324145025087	0.209149377563398	-1.64976998614742	2.12574001510199	7955.80820879475
081	root_r	5.72108684428848	5.79671168897946	1.26754238687151	10.2767110324303	1492.58198307775
081	root_s	0.883228183960662	0.695591580725933	0.1494788011787	1.24542683193431	1068.15472691497
081	root_a	8.8978951133322	3.65462751549088	-4.21795621534417	7.50809513234974	575.72793202822
083	sigma_x	0.413530407706276	0.982522513773045	0.94928111889093	0.999998670319986	7665.00672560032
083	sigma_y	0.457009355770424	0.999434412668207	0.998313424364877	0.999999999979664	13622.5506343316
083	sigma_r	0.705846765777096	0.997372716663942	0.992108020385149	0.999999987549645	12491.3089207579
083	sigma_s	0.461830075597391	0.992044261049559	0.976463182753093	0.999999030158656	11430.6037024587
083	sigma_a	3.93322461517528	4.7505043051316	4.32523903095588	4.99997646310296	2781.97649113174
083	mu	-3.84063808480278	-3.11978728340686	-4.99933998103537	-0.440522387529242	9214.47168201243
083	kappa	0.102904430823401	0.104444036345211	0.055547607149432	0.155406658362282	3002.40701091768
083	root_x	-0.0241511086121676	-0.149810964739505	-2.00375940321925	1.63471770861617	14054.0814018851
083	root_y	-2.0537149855889	-0.134778178180535	-1.93739150336035	1.68499202217163	13551.3666336787
083	root_r	-4.03423247011919	-1.10039535824474	-5.04432932112931	2.77691649811314	413.284094745836
083	root_s	-4.44906664833809	-2.77422493847436	-6.8487168538221	1.4500523746826	322.536788339078
083	root_a	-1.81012372835539	-0.50211769737555	-4.99967708482103	5.0376417493281	2549.66522437151
085	sigma_x	0.312165156239644	0.974772586866673	0.924652264890696	0.999999156536541	5173.33389435285
085	sigma_y	0.889622312504798	0.99132947765319	0.974219832533154	0.99999662126127	9890.57365737816
085	sigma_r	0.550327949225903	0.905897390296667	0.778719058192412	0.999971459746942	2439.03140327026
085	sigma_s	0.155949896434322	0.176081720686769	0.133332186375082	0.22240312717633	1323.11413782247
085	sigma_a	2.54502700874582	3.68037984728251	2.6923478527046	4.99999098585464	283.07768426693
085	mu	5.60625802492723	5.76183929430136	5.2265376272048	6.28607340812509	4786.28812746494
085	kappa	1.14707202883437	2.03120351350967	1.00846966703193	3.32087699786842	740.97188132164
085	root_x	-1.43728611880952	-0.000417289560873147	-1.92368898239615	1.89480691246004	11487.8159296215
