sim	param	true	est	hpd_low	hpd_high	ess
080	root_s	-2.21662470529615	-2.00231801646329	-3.16946580560018	-0.784019956732336	1053.28584130399
080	root_a	1.617194886785	0.445841925593093	-4.99865274859443	6.02280263047238	3192.40969551557
081	sigma_x	0.991734176175669	0.876730363909613	0.686268719009786	0.999998351738878	1263.78923717586
081	sigma_y	0.741217672592029	0.78859725538569	0.615768324167847	0.986820992118748	2430.12608034832
081	sigma_r	0.923101618420333	0.984353205269569	0.945618633534661	0.999999797192299	746.506754210845
081	sigma_s	0.0721750881057233	0.066948068841931	0.0515667826482751	0.0835255773326535	1278.00302855534
081	sigma_a	2.81836918089539	4.80755421926588	4.45734003669908	4.99998500903993	10517.5644264514
081	mu	1.24929221230559	0.467692236503945	-1.83065434700268	2.76216300603735	10268.6871759543
081	kappa	0.093735484406352	0.247407960276228	0.136572436223653	0.362383061257522	3926.67303879408
081	root_x	0.74017651347155	-0.294501756459678	-2.21210979381496	1.6673652558614	6573.78924247555
081	root_y	0.966324145025087	0.0796088657623838	-1.76746486728775	1.93666539429028	8340.93922855021
081	root_r	5.72108684428848	6.73607298796405	2.23321028209757	11.5923465169367	2607.70383119833
081	root_s	0.883228183960662	0.794895378359222	0.383698710662764	1.17418568321744	1578.95820340882
081	root_a	8.8978951133322	2.45261188381794	-4.83715820632778	6.83383892937574	693.496834979298
082	sigma_x	0.140689349966124	0.080746044661826	0.0355026270774286	0.142636856699544	138.114023908905
082	sigma_y	0.742306071566418	0.94696441435278	0.857114692280661	0.999999358110969	3452.35131318742
082	sigma_r	0.128984503215179	0.120557353104033	0.0971418246407855	0.145742984228976	857.83137250067
082	sigma_s	0.766745083034039	0.751129617388091	0.607396407514435	0.893822490634324	1101.77303310469
082	sigma_a	2.66851107706316	4.53150303523911	3.7600875780033	4.99998341924749	2092.16935660907
082	mu	3.15860441653058	3.15331803559546	2.57443305666302	3.75070542136769	5174.78680637189
082	kappa	0.500572586897761	1.3035427120792	0.735524953527848	1.84230630425454	2142.49114798829
082	root_x	-0.326809932128724	-1.50813796720873	-2.42061480938697	-0.336381380192183	159.431924431719
082	root_y	1.8816353186618	-0.099790229498067	-1.95027505171148	1.69364597841053	11591.295024573
082	root_r	0.886276683328307	0.702705165307059	0.0919571537910306	1.27727284100577	890.943698355024
082	root_s	-2.42879120819291	-1.1892606751575	-4.697571560013	2.40070073696625	929.896929534545
082	root_a	-0.496269762516022	-0.209339009170629	-4.99992457634463	6.64468611656022	1973.14152350674
083	sigma_x	0.413530407706276	0.398968792555473	0.300877713665338	0.504493483212288	2888.5631934521
083	sigma_y	0.457009355770424	0.450745719120492	0.335592928673608	0.576492903000093	2269.23581633223
083	sigma_r	0.705846765777096	0.853555153215317	0.719533277326059	0.999962913310045	1609.26139569601
083	sigma_s	0.461830075597391	0.471678453399669	0.354094934627144	0.601988104765687	663.220116418577
083	sigma_a	3.93322461517528	3.91187013111054	2.75660450244296	4.99888849509441	637.06562178738
083	mu	-3.84063808480278	-3.89145325465911	-4.99996255324625	-1.91099036984799	2827.09317701903
083	kappa	0.102904430823401	0.164335762526102	0.0265112133074164	0.305549947810481	893.682951803582
083	root_x	-0.0241511086121676	-0.65634843773691	-2.18495162712274	0.84375655271052	5451.06564538016
083	root_y	-2.0537149855889	-0.242044191023486	-1.81067086465233	1.2764436022896	6682.17675852932
083	root_r	-4.03423247011919	-1.13889582685007	-5.00488444659019	2.86398098647126	349.287807479707
083	root_s	-4.44906664833809	-3.64556178497156	-6.20456090532678	-1.09412805593886	240.698872969818
083	root_a	-1.81012372835539	-0.15041484859809	-4.99964862673664	6.1707093030922	1920.15488086424
084	sigma_x	0.168660571798682	0.985523485744477	0.956596132323371	0.99999992909052	6787.04749236411
084	sigma_y	0.917286051204428	0.981677838469717	0.945076977093362	0.999999755500377	5543.71819208699
084	sigma_r	0.362557194661349	0.973381699934633	0.923510241658982	0.999995801943899	2436.29709440905
084	sigma_s	0.654419139027596	0.923517294962453	0.819129174795794	0.999995807543863	904.906544051122
084	sigma_a	0.991180050186813	2.83622102598926	2.50154577060249	3.17769013519239	2602.98998292773
084	mu	7.42664538207464	7.27029562986693	7.12606223828419	7.41222730025365	4243.7516092958
084	kappa	3.22014114470221	4.79186760541988	4.40017995548883	4.99999792376222	9682.84903163961
084	root_x	1.88732119229255	-0.0820793130471794	-2.04562049596417	1.86327162025364	4398.92178306174
084	root_y	1.13352740582002	-0.335067196447528	-2.32077455977228	1.53503243965564	5754.3900766416
084	root_r	4.55609070556836	4.11658347007026	1.24250707374583	6.9550007161299	691.789931044731
084	root_s	-2.93691932283687	-5.50989831316261	-8.80338318320486	-2.37759503558787	804.48549687887
084	root_a	8.89233592431992	8.50174389094558	7.92865154247453	9.03346209491824	762.767961875359
085	sigma_x	0.312165156239644	0.733331428779687	0.357500570197473	0.99999498670374	731.62282478193
085	sigma_y	0.889622312504798	0.334603601887552	0.0179884321092836	0.786217511151754	250.495101148071
085	sigma_r	0.550327949225903	0.578627909147644	0.387014527430399	0.800685887353555	1797.70906295532
085	sigma_s	0.155949896434322	0.141947021626134	0.0954552485210444	0.195634927870395	1883.50502594138
085	sigma_a	2.54502700874582	3.68439609527018	2.25252814394824	4.99954706785759	1062.68446999794
085	mu	5.60625802492723	4.93022350090703	3.69246944344231	6.15994815035087	3274.34862959529
085	kappa	1.14707202883437	0.979646677433316	0.198568420043903	1.94872985979857	1219.23833411913
085	root_x	-1.43728611880952	-0.438976967212284	-2.36171804062672	1.46560684422353	7211.51871727112
085	root_y	-0.555793716370326	-0.799527429867623	-2.70024357780109	1.46857728093556	854.76587650789
085	root_r	-7.54631031495915	-5.47384685906463	-9.33684864205303	-1.55431913010219	3442.37525294213
085	root_s	1.4724046293144	1.52429357701926	0.484367918307544	2.5669599771655	2930.91879715854
085	root_a	6.46123207989149	7.0260668120666	6.0876138002635	7.78518311580742	530.629683431247
086	sigma_x	0.651076801354066	0.831957106975738	0.630040182461406	0.999996380387509	795.143068982695
086	sigma_y	0.868830991443247	0.880767571046544	0.728462102176835	0.999997358594544	1792.72096227613
086	sigma_r	0.327900754986331	0.361149669564761	0.290880009405396	0.43860783204356	1020.8917739477
086	sigma_s	0.797705801669508	0.844311841622307	0.716343360694341	0.995520280268495	1424.93644662451
