sim	param	true	est	hpd_low	hpd_high	covered	ess	tree_size
001	sigma_x	0.932808704674244	0.898583973098369	0.770756064935822	0.99999999190566	TRUE	15208.2999998209	30
001	sigma_y	0.201983017381281	0.186888759673836	0.128875170691581	0.251504710865604	TRUE	4233.12070060004	30
001	sigma_r	0.792378755984828	0.857698540193996	0.717331339928708	0.999616906557652	TRUE	3290.99806306066	30
001	sigma_s	0.224630508804694	0.263901550056529	0.199950914046181	0.335174052619608	TRUE	1879.06599737647	30
001	sigma_a	0.153782855486497	0.183950218158225	0.123010387328847	0.257082146149942	TRUE	709.904747680756	30
001	mu	-2.09323892602697	-2.10364081683065	-2.13360961100881	-2.07355916891389	TRUE	1901.32944894935	30
001	kappa	2.94033196521923	2.96484860445831	1.83121003529759	4.18958840894307	TRUE	254.770885587181	30
001	root_x	-0.353400285829911	-0.179467008653718	-2.12510662184663	1.66259433396749	TRUE	7626.78890078492	30
001	root_y	0.170489470947982	0.705920224832019	-0.664023913411125	2.20699890359715	TRUE	1282.34935769428	30
001	root_r	5.44751747601151	8.08017556937298	4.7546202275792	11.5535026165221	TRUE	300.166858477799	30
001	root_s	7.86216458739573	7.4256274505951	6.32337979954472	8.68835885017373	TRUE	925.499922481914	30
001	root_a	7.64680222608149	7.19384148779277	6.37669533677222	7.97148603883816	TRUE	306.830387045565	30
002	sigma_x	0.435651870910078	0.453037865862747	0.379583269187857	0.534553154848719	TRUE	1797.40790726404	106
002	sigma_y	0.0369323608465493	0.0348665411974641	0.0160268980515898	0.0582231798609749	TRUE	138.751468516256	106
002	sigma_r	0.399214582284912	0.422440180372168	0.3679115406832	0.476162923828995	TRUE	1523.43999545753	106
002	sigma_s	0.45114145684056	0.474599786636077	0.416129023204244	0.533833597610066	TRUE	1789.10498745129	106
002	sigma_a	4.10146737587638	3.63806667552809	2.82593195839903	4.50549399009149	TRUE	618.158708005819	106
002	mu	2.52612711512484	2.53862801066326	2.07704236056481	3.02960268213228	TRUE	5558.18368674805	106
002	kappa	1.04149807710201	0.876994311303268	0.51423594712649	1.2971806825528	TRUE	643.559566411885	106
002	root_x	-0.162225295911029	-0.305791248330129	-1.75230686856692	1.1966429493054	TRUE	6172.26680028873	106
002	root_y	0.386926559881518	0.0506988570005146	-0.642956116760785	0.952470495922916	TRUE	102.775859643688	106
002	root_r	3.16916489283665	4.36460521844003	2.82339243321897	5.96884489906537	TRUE	935.322651965389	106
002	root_s	10.7738609220689	7.8333541120847	6.31870972298284	9.65376511374414	FALSE	39.5063474446018	106
002	root_a	5.46412769588642	6.13530091086186	5.83841717355154	6.47002777405807	FALSE	44.673936181492	106
003	sigma_x	0.142340212594718	0.140320047557932	0.0640892661187358	0.214162148374346	TRUE	139.998763723065	117
003	sigma_y	0.262317587388679	0.309413552947132	0.220245349540911	0.40159287730203	TRUE	404.346927987105	117
003	sigma_r	0.695624109823257	0.786237631791481	0.687968252666908	0.901672071323834	TRUE	984.935761544258	117
003	sigma_s	0.627376682823524	0.601361228174991	0.519558406731031	0.68584260410002	TRUE	998.08474817379	117
003	sigma_a	2.18290383112617	2.21877381541076	1.80380412717984	2.66930793412435	TRUE	705.691995875983	117
003	mu	2.55818809731863	2.55416489826682	2.31545194929933	2.77791772743995	TRUE	2932.42403158344	117
003	kappa	1.60785163519904	1.32611678443752	0.920012032512094	1.795287346136	TRUE	618.175436580509	117
003	root_x	0.309111175345405	-0.700579317887612	-2.63074149773641	1.05400120385738	TRUE	191.246380668222	117
003	root_y	0.901647861973713	-0.0587969000668222	-1.77645139894622	1.59077359091808	TRUE	1614.38706613191	117
003	root_r	6.2821491855209	7.44465207163617	4.85817770886991	10.0763972620037	TRUE	142.213859465245	117
003	root_s	0.981761673648009	0.821150384450429	0.217053177598549	1.40360750467848	TRUE	193.439993911748	117
003	root_a	9.35931065469049	9.32827405109088	9.24806631665388	9.41111842750237	TRUE	1062.70391194544	117
004	sigma_x	0.354194046463817	0.331676392966055	0.254763535963754	0.418753229260069	TRUE	405.546251800495	147
004	sigma_y	0.728580018505454	0.729122290916778	0.613634601557192	0.851236310472219	TRUE	1275.62189268924	147
004	sigma_r	0.62874779291451	0.612633592168599	0.539780071484988	0.688141154466066	TRUE	769.521420115619	147
004	sigma_s	0.72142386273481	0.782416661415588	0.689562961720579	0.877498806296646	TRUE	1040.58540862044	147
004	sigma_a	0.790885419119149	0.72675297483511	0.638838307543609	0.822780127331584	TRUE	1060.803842968	147
004	mu	2.42872881004587	2.45127912474425	2.41199741608604	2.49059918193905	TRUE	1451.12975191008	147
004	kappa	4.84991877689026	4.61591593314583	4.21193713188699	4.9999216771253	TRUE	1186.52643460531	147
004	root_x	-1.37348188747219	0.121447846212722	-1.21167516358416	1.55793518431539	FALSE	2963.72812443143	147
004	root_y	-1.12795992930285	0.0149925611754713	-1.65179713928559	1.79227412605904	TRUE	10424.1145342877	147
004	root_r	0.856950327393563	-0.395153318044711	-2.90757702659591	2.27717371542167	TRUE	237.439008706819	147
004	root_s	-1.4545958103933	-2.47817695419125	-5.83885852853688	1.08854097917482	TRUE	240.72178304378	147
004	root_a	3.20610672584735	-0.37818849938779	-4.99969271706501	6.11650255389667	TRUE	2206.13816438279	147
005	sigma_x	0.396629426395521	0.312656509880855	0.21537213063294	0.422888120471515	TRUE	2210.30975724481	33
005	sigma_y	0.131984238047153	0.131972546030876	0.06242780776836	0.205011902638179	TRUE	671.131634309917	33
005	sigma_r	0.341667271917686	0.382003786692205	0.284507640436085	0.493769749980303	TRUE	1089.61359803761	33
