sim	param	true	EMPIRE	rase	ess
1	sigma_x	0.932808704674244	0.898583973098369	2.05898558854552	193.160484168575
1	sigma_y	0.201983017381281	0.186888759673836	0.646912842161892	190.68771013958
1	root_x	-0.353400285829911	-0.179467008653718	-19.8943304530782	433.753193937867
1	root_y	0.170489470947982	0.705920224832019	-5.60875006940543	503.35415464548
2	sigma_x	0.435651870910078	0.453037865862747	2.20520770786579	0
2	root_x	-0.162225295911029	-0.305791248330129	2.0670238528292	372.144664296744
3	sigma_y	0.262317587388679	0.309413552947132	0.707106781186548	0
3	root_y	0.901647861973713	-0.0587969000668222	-57.6429066953056	61.8861617169563
4	sigma_x	0.354194046463817	0.331676392966055	0.707106781186548	0
4	sigma_y	0.728580018505454	0.729122290916778	0.707106781186548	0
4	root_x	-1.37348188747219	0.121447846212722	0.990345840259043	168.09718363827
4	root_y	-1.12795992930285	0.0149925611754713	1.18217287441904	386.003524477587
5	sigma_x	0.396629426395521	0.312656509880855	0.362984473431169	76.3688527021512
5	sigma_y	0.131984238047153	0.131972546030876	0.575478801756293	35.8085928544861
5	root_x	0.326648604433737	0.206221825931919	0.624133994779454	2146.74928768629
5	root_y	-2.70787788745313	-1.58223191168372	-18.611335425837	2489.16028873174
6	sigma_y	0.73347818874754	0.757541702344115	0.707106781186548	0
6	root_y	0.760264092761412	-0.0623298841970911	0.80775948569246	531.559154821839
7	sigma_x	0.226591604063287	0.224964146365849	30.4503580197055	0
7	sigma_y	0.0420301186386496	0.0366873896931632	24.467478396551	0
7	root_x	-0.864487835396228	-0.162739190658626	-18.7037351067921	83.7729979342477
7	root_y	-0.299145311637362	-0.188546597796525	-16.0220105445662	98.849012618732
8	sigma_y	0.193423376884311	0.197357542757317	11.782609871652	0
8	root_x	-0.327793465952175	-0.48998103422365	0.468246932351431	860.4874787927
8	root_y	0.53821273111495	0.40957857914998	13.1824638102392	974.540929581928
9	sigma_x	0.530052522895858	0.538346948441155	0.630595327775807	19.7763175869024
